Title,Price,Link
Ноутбук Acer Nitro 5 AN515-57-57E4 (NH.QEWEU.007) Shale Black,44999,https://rozetka.com.ua/acer-nhqeweu007/p323225668/
Ноутбук MSI Katana GF76 (11UE-274XUA) Black,55499,https://rozetka.com.ua/msi-11ue-274xua/p336540442/
Ноутбук MSI Katana GF66 (11UE-639XUA) Black,47999,https://rozetka.com.ua/msi-11ue-639xua/p336846247/
Ноутбук Acer Predator Triton 300 SE PT314-51s-54AN (NH.QBJEU.00J) Sparkly Silver,49999,https://rozetka.com.ua/acer-nhqbjeu00j/p330357985/
Ноутбук Lenovo Legion 5 15ACH6H (82JU014ARA) Phantom Blue,55555,https://rozetka.com.ua/lenovo-82ju014ara/p334688836/
Ноутбук ASUS ROG Strix G17 G713RM-KH006 (90NR08K4-M00310) Eclipse Gray,64999,https://rozetka.com.ua/asus-90nr08k4-m00310/p342774085/
"Ноутбук ASUS TUF Gaming F15 FX506HM-HN017 (90NR0753-M01170) Eclipse Gray / 15.6"" IPS / Intel Core i5-11400H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060",47999,https://rozetka.com.ua/asus-90nr0753-m01170/p339373132/
Ноутбук Acer Predator Triton 300 SE PT314-51s-71VY (NH.QBJEU.00K) Sparkly Silver,55399,https://rozetka.com.ua/acer-nhqbjeu00k/p330361321/
Ноутбук ASUS ZenBook Pro Duo 15 OLED UX582HM-KY037X (90NB0V11-M01000) Celestial Blue,109999,https://rozetka.com.ua/asus-90nb0v11-m01000/p332368291/
Ноутбук Gigabyte G5 KC (G5_KC-5RU1130SB) Black,50999,https://rozetka.com.ua/gigabyte-g5-kc-5ru1130sb/p323902336/
Ноутбук Acer Predator Triton 300 SE PT314-51s-786R (NH.QBJEU.00H) Sparkly Silver,59399,https://rozetka.com.ua/acer-nhqbjeu00h/p332476615/
Ноутбук Acer Nitro 5 AN515-45-R92M (NH.QBCAA.001) Shale Black,50499,https://rozetka.com.ua/acer-nhqbcaa001/p340070473/
Ноутбук MSI GF65 Thin 10UE (GF6510UE-213US) Black,40399,https://rozetka.com.ua/msi-gf6510ue-213us/p340109110/
"Ноутбук Acer Nitro AN515-45 | 15.6"" | Full HD (1920x1080) | IPS | 144Hz | AMD Ryzen 7 5800H | 16 DDR4 | SSD 512Gb | GeForce RTX 3060 (6GB | GDDR6 | 192Bit) | Windows 10 Home",58460,https://rozetka.com.ua/341744536/p341744536/
Ноутбук Gigabyte AORUS 17G (AORUS17G_KD-72RU325SH),77000,https://rozetka.com.ua/327966631/p327966631/
Ноутбук Dell Alienware M15 R6 (INS2345589SA) Dark Moon Black - refurbished,60699,https://rozetka.com.ua/340298548/p340298548/
Ноутбук MSI Creator Z16 (CREATOR_Z16_A11UE-084UA),94808,https://rozetka.com.ua/321832462/p321832462/
Ноутбук MSI Pulse (GL6611UEK-640XUA),63671,https://rozetka.com.ua/340465669/p340465669/
Ноутбук Acer Nitro 5 AN515-45 (NH.QBCEU.00U),64126,https://rozetka.com.ua/340464655/p340464655/
Ноутбук Dream Machines RT3060-17 (RT3060-17UA40),69427,https://rozetka.com.ua/337881220/p337881220/
Ноутбук Razer Blade 15 Advanced Edition Model (RZ09-0421EED3-R3U1) Black,100099,https://rozetka.com.ua/razer-rz09-0421eed3-r3u1/p342791518/
"Ноутбук Gigabyte G5 KD / i5-11400H, 6 ядер / 16 GB RAM / SSD 512 GB / RTX3060, 6 ГБ GDDR6 / 144 Гц",48880,https://rozetka.com.ua/343133113/p343133113/
"Ноутбук Acer Nitro 5 / AMD Ryzen™ 7 5800H, 8 ядер / 16Gb RAM / SSD 512GB / RTX3060 / 144Hz / Для игр",53029,https://rozetka.com.ua/343133083/p343133083/
Ноутбук Dell Inspiron G15 5515 Gaming (INS2340098SA) Phantom Gray - refurbished,59435,https://rozetka.com.ua/341832559/p341832559/
Ноутбук Gigabyte Aorus 15G (KC-8US2130SH) Black Б/У,49999,https://rozetka.com.ua/343133875/p343133875/
"Ноутбук ASUS TUF Gaming F17 (2022) FX707ZM-HX002 (90NR09G1-M00300) Mecha Gray / 17.3"" IPS / Intel Core i7-12700H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3060",66999,https://rozetka.com.ua/asus-90nr09g1-m00300/p339697243/
Ноутбук Dream Machines RG3060-15 (RG3060-15UA29) Black,51199,https://rozetka.com.ua/dream-machines-rg3060-15ua29/p334479343/
Ноутбук Dream Machines RT3060-17 (RT3060-17UA40) Black,59899,https://rozetka.com.ua/dream-machines-rt3060-17ua40/p334484638/
Ноутбук ASUS TUF Gaming F15 FX506HM-HN095 (90NR0753-M004U0) Eclipse Gray,47999,https://rozetka.com.ua/asus-90nr0753-m004u0/p339690301/
Ноутбук MSI Creator Z16 (A11UET-083UA) Grey,127049,https://rozetka.com.ua/msi-a11uet-083ua/p316291255/
"Ноутбук ASUS TUF Gaming F15 FX506HM-HN004 (90NR0754-M01050) Graphite Black / 15.6"" IPS / Intel Core i7-11800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060",53999,https://rozetka.com.ua/asus-90nr0754-m01050/p312961612/
Ноутбук Acer Nitro 5 AN515-55-52GP (NH.QB2EU.012) Obsidian Black,34999,https://rozetka.com.ua/acer_nh_qb2eu_012/p282415758/
Ноутбук MSI GL66 Pulse (GL6611UEK-250XUA) Black,57999,https://rozetka.com.ua/msi-gl6611uek-250xua/p321614767/
Ноутбук Lenovo Legion 5 17ACH6H (82JY00GRRA) Phantom Blue,63524,https://rozetka.com.ua/lenovo-82jy00grra/p332414767/
Ноутбук Acer Nitro 5 AN515-45-R09W (NH.QBCEU.00F) Shale Black,45999,https://rozetka.com.ua/acer_nh_qbceu_00f/p294700883/
Ноутбук Gigabyte AORUS 17G (AORUS_17G_KD-72RU325SD) Black,65889,https://rozetka.com.ua/gigabyte-aorus-17g-kd-72ru325sd/p323879200/
Ноутбук HP Victus 16-e0000ua (4R897EA) Blue,70569,https://rozetka.com.ua/hp-4r897ea/p328796650/
Ноутбук Acer Nitro 5 AN515-57-72NM (NH.QEWEU.004) Shale Black,49999,https://rozetka.com.ua/acer-nhqeweu004/p325089523/
Ноутбук Dream Machines RT3060-17 (RT3060-17UA45) Black,69189,https://rozetka.com.ua/dream-machines-rt3060-17ua45/p334479460/
Ноутбук HP Victus 16-e0012ua (4R8C4EA) Performance Blue,46999,https://rozetka.com.ua/hp-4r8c4ea/p336319219/
Ноутбук Gigabyte G5 KC (G5_KC-5RU1130SH) Black,43119,https://rozetka.com.ua/gigabyte-g5-kc-5ru1130sh/p323895883/
Ноутбук Gigabyte G5 KC (G5_KC-5RU1130SD) Black,46529,https://rozetka.com.ua/gigabyte-g5-kc-5ru1130sd/p323893486/
Ноутбук Gigabyte Aero (AERO15OLED_KD-72RU624SD) Black,64899,https://rozetka.com.ua/gigabyte-aero15oled-kd-72ru624sd/p323853700/
Ноутбук HP Victus 16-d0002ua (4R864EA) Blue,77730,https://rozetka.com.ua/hp-4r864ea/p328782547/
Ноутбук Gigabyte AORUS (AORUS15P_KD-72RU224SD) Black,63799,https://rozetka.com.ua/gigabyte-aorus15p-kd-72ru224sd/p323872414/
Ноутбук HP Victus 16-e0002ua (4R899EA) Blue,57999,https://rozetka.com.ua/hp-4r899ea/p328804948/
Ноутбук HP Victus 16-d0006ua (4R868EA) Blue,66999,https://rozetka.com.ua/hp-4r868ea/p335449138/
Ноутбук MSI GF65 Thin 10UE-215XUA Black,43999,https://rozetka.com.ua/msi-gf65-thin-10ue-215xua/p302461273/
Ноутбук MSI GF65 Thin 10UE-214XUA Black,46199,https://rozetka.com.ua/msi-gf65-thin-10ue-214xua/p302288568/
Ноутбук Dream Machines RG3060-15 (RG3060-15UA45) Black,66879,https://rozetka.com.ua/dream-machines-rg3060-15ua45/p334479457/
Ноутбук Lenovo ThinkBook 16p G2 ACH (20YM000BRA) Mineral Grey,76619,https://rozetka.com.ua/lenovo-20ym000bra/p313541935/
Ноутбук HP Victus 16-e0003ua (4R8A0EA) Black,66989,https://rozetka.com.ua/hp-4r8a0ea/p334606537/
Ноутбук MSI Katana GF76 (GF7611UE-201XUA) Black,61599,https://rozetka.com.ua/msi-gf7611ue-201xua/p321591388/
Ноутбук MSI Katana GF66 (11UE-609XUA) Black,56099,https://rozetka.com.ua/msi-11ue-609xua/p335103388/
Ноутбук MSI Creator Z16 Hiroshi Fujiwara Limited Edition (CREATOR_Z16_268UA) Black,93499,https://rozetka.com.ua/msi-creator-z16-268ua/p327172945/
Ноутбук MSI GF75 Thin (GF7510UEK-091UA) Black,45649,https://rozetka.com.ua/msi-gf7510uek-091ua/p316553689/
Ноутбук MSI Pulse GL76 (GL7611UEK-099XUA) Black,61599,https://rozetka.com.ua/msi-gl7611uek-099xua/p314093545/
Ноутбук Dream Machines RG3060-15 (RG3060-15UA20) Black,46499,https://rozetka.com.ua/dream-machines-rg3060-15ua20/p334479328/
Ноутбук HP Victus 16-D0072MS (49X67UA) Gray,51499,https://rozetka.com.ua/hp-49x67ua/p339656236/
Ноутбук MSI Katana GF66 (11UE-491XPL) Black,49599,https://rozetka.com.ua/msi-11ue-491xpl/p339638695/
